trade_date,SG Trend Indicator,SG CTA Index,SG Trend Index,S&P 500 TR,sg_trend_indicator_ret,sg_cta_index_ret,sg_trend_index_ret,sp500_ret
2000-01-01,100.0,100.0,100.0,100.0,,,,
2000-01-03,99.19,99.67,99.72,100.0,-0.008099999999999996,-0.0032999999999999696,-0.0028000000000000247,0.0
2000-01-04,95.9,98.7,97.07,96.17,-0.03316866619618908,-0.00973211598274304,-0.026574408343361444,-0.0383
2000-01-05,95.15,98.42,96.21,96.36,-0.00782064650677794,-0.0028368794326241176,-0.00885958586586999,0.001975668087761173
2000-01-06,93.89,98.24,95.35,96.47,-0.013242249080399393,-0.0018288965657387024,-0.00893877975262447,0.0011415525114155667
2000-01-07,94.92,97.7,94.4,99.09,0.010970284375332762,-0.005496742671009747,-0.009963293130571427,0.027158702187208617
2000-01-10,96.29,97.98,95.12,100.2,0.014433206911083074,0.002865916069600738,0.007627118644067732,0.01120193763245525
2000-01-11,96.19,99.35,97.42,98.89,-0.0010385294423097546,0.01398244539701965,0.02417998317914205,-0.01307385229540925
2000-01-12,95.84,99.63,97.96,98.46,-0.0036386318744151547,0.0028183190739807795,0.0055430096489426095,-0.004348265749823055
2000-01-13,97.15,99.47,97.71,99.66,0.013668614357262188,-0.0016059419853456935,-0.002552062066149441,0.01218769043266299
2000-01-14,99.43,100.43,99.67,100.73,0.023468862583633676,0.009651151100834587,0.02005935932862557,0.010736504113987522
2000-01-17,100.13,100.63,99.97,,0.007040128733782458,0.0019914368216666922,0.0030099327781678564,
2000-01-18,100.31,101.66,102.04,100.04,0.001797663038050512,0.010235516247639964,0.020706211863559032,
2000-01-19,99.99,101.34,101.79,100.1,-0.0031901106569635074,-0.003147747393271616,-0.002450019600156783,0.0005997600959615212
2000-01-20,100.19,101.3,101.58,99.39,0.0020002000200021186,-0.000394710874284665,-0.0020630710285883813,-0.007092907092906997
2000-01-21,100.49,101.11,101.5,99.1,0.0029943108094618864,-0.0018756169792695232,-0.0007875566056310124,-0.0029177985712849352
2000-01-24,99.52,101.19,101.1,96.36,-0.009652701761369231,0.0007912174859063814,-0.003940886699507429,-0.027648839556003946
2000-01-25,99.4,101.17,101.11,96.94,-0.001205787781350387,-0.00019764798893162627,9.891196834832527e-05,0.006019095060190827
2000-01-26,99.37,100.69,100.11,96.54,-0.0003018108651912099,-0.004744489473163971,-0.009890218573830434,-0.004126263668248309
2000-01-27,100.93,101.46,101.2,96.16,0.015698903089463645,0.007647234084814825,0.010888023174508099,-0.003936192251916437
2000-01-28,98.55,102.16,101.51,93.53,-0.02358069949469943,0.006899270648531575,0.0030632411067192944,-0.027350249584026542
2000-01-31,98.53,102.34,101.97,95.89,-0.00020294266869602673,0.0017619420516836737,0.004531573244015208,0.025232545707259746
2000-02-01,98.08,102.02,101.25,96.91,-0.004567136912615455,-0.0031268321282001965,-0.007060900264783787,0.010637188445093315
2000-02-02,98.11,101.49,99.95,96.91,0.0003058727569331676,-0.005195059792197587,-0.012839506172839465,0.0
2000-02-03,96.75,100.13,97.39,98.01,-0.013861991642034499,-0.01340033500837523,-0.025612806403201627,0.011350737797956922
2000-02-04,97.84,100.92,99.11,97.97,0.011266149870801101,0.00788974333366621,0.017660950816305476,-0.0004081216202429516
2000-02-07,98.64,101.81,100.42,97.96,0.00817661488143906,0.008818866428854433,0.013217636969024449,-0.0001020720628764904
2000-02-08,98.38,101.09,98.92,99.17,-0.0026358475263584813,-0.007071996856890306,-0.014937263493328024,0.012351980400163498
2000-02-09,99.02,101.29,99.25,97.13,0.006505387273836094,0.001978435057869321,0.003336029114435979,-0.020570737118080107
2000-02-10,99.32,101.99,100.91,97.48,0.0030296909715208376,0.00691085003455405,0.016725440806045322,0.003603418099454414
2000-02-11,99.51,101.82,100.24,95.45,0.0019130084575111894,-0.001666830081380577,-0.006639579823605191,-0.020824784571194077
2000-02-14,99.5,102.15,100.66,95.64,-0.00010049241282283905,0.003241013553329619,0.0041899441340782495,0.0019905709795704496
2000-02-15,99.48,101.86,100.2,96.48,-0.00020100502512554463,-0.002838962310327986,-0.00456983906218944,0.008782936010037767
2000-02-16,99.08,101.88,100.45,95.51,-0.004020908725371974,0.00019634792852940564,0.0024950099800398196,-0.010053897180762883
2000-02-17,98.87,102.25,100.79,95.55,-0.002119499394428681,0.003631723596387859,0.00338476854156311,0.0004188043136843511
2000-02-18,99.45,102.54,101.1,92.64,0.005866289066450925,0.0028361858190708578,0.0030757019545588626,-0.030455259026687553
2000-02-21,99.08,102.38,100.67,,-0.0037204625439920536,-0.0015603666861713217,-0.0042532146389712144,
2000-02-22,95.53,101.17,97.91,93.06,-0.03582963262010497,-0.011818714592693791,-0.027416310718188175,
2000-02-23,97.35,101.54,98.79,93.66,0.019051606825081002,0.003657210635563901,0.008987845981003106,0.006447453255963742
2000-02-24,98.29,101.45,98.86,93.16,0.009655880842321718,-0.0008863502068150453,0.0007085737422816152,-0.005338458253256406
2000-02-25,99.89,101.41,98.94,91.79,0.016278359955234523,-0.0003942828979793811,0.0008092251669027384,-0.014705882352941124
2000-02-28,100.23,100.89,98.31,92.81,0.003403744118530394,-0.005127699437925237,-0.00636749545178894,0.01111232160366038
2000-02-29,100.79,101.55,99.52,94.08,0.0055871495560211315,0.006541778174249169,0.012308005289390689,0.013683870272599874
2000-03-01,100.12,100.65,98.74,94.98,-0.0066474848695307065,-0.008862629246676468,-0.007837620578778126,0.00956632653061229
2000-03-02,100.99,101.2,99.39,95.15,0.0086895725129843,0.005464480874316946,0.0065829451083654345,0.0017898504948410388
2000-03-03,101.12,101.29,99.73,97.04,0.0012872561639767355,0.0008893280632411571,0.003420867290471863,0.01986337362059909
2000-03-06,101.83,101.53,100.25,95.82,0.007021360759493556,0.0023694342975613125,0.0052140780106286755,-0.012572135201978751
2000-03-07,101.76,101.85,100.81,93.37,-0.0006874202101541105,0.003151777799665023,0.005586034912718141,-0.025568774786057125
2000-03-08,101.05,100.72,98.7,94.14,-0.00697720125786172,-0.011094747177221365,-0.020930463247693654,0.008246760201349401
2000-03-09,99.68,100.1,97.9,96.55,-0.013557644730331386,-0.0061556791104051545,-0.008105369807497431,0.025600169959634655
2000-03-10,99.83,100.04,97.98,96.1,0.001504815409309801,-0.0005994005994004459,0.0008171603677220585,-0.0046607975142413105
2000-03-13,98.91,99.46,96.88,95.32,-0.009215666633276554,-0.005797680927629112,-0.011226780975709394,-0.008116545265348662
2000-03-14,98.49,99.21,96.31,93.64,-0.00424628450106157,-0.0025135732957972667,-0.005883567299752146,-0.017624842635333482
2000-03-15,98.02,99.34,96.15,95.91,-0.004772058076962127,0.001310351779054697,-0.001661302045478097,0.02424177701836827
2000-03-16,97.37,99.47,96.31,100.5,-0.006631299734747964,0.0013086370042278972,0.0016640665626623807,0.047857366280888325
2000-03-17,98.33,100.07,97.39,100.91,0.009859299578925729,0.006031969438021534,0.011213788806977432,0.004079601990049753
2000-03-20,98.16,99.52,96.22,100.37,-0.0017288721651581573,-0.005496152693114764,-0.0120135537529521,-0.005351303141413077
2000-03-21,98.48,100.17,97.46,102.94,0.0032599837000815146,0.006531350482315235,0.0128871336520473,0.02560526053601664
2000-03-22,99.01,100.27,97.7,103.4,0.005381803411860231,0.0009983028850952813,0.002462548737943937,0.004468622498542851
2000-03-23,98.73,99.77,97.0,105.25,-0.002827997172002883,-0.0049865363518499795,-0.007164790174002067,0.017891682785299734
2000-03-24,98.26,98.99,95.71,105.25,-0.004760457814240837,-0.007817981357121417,-0.01329896907216499,0.0
2000-03-27,98.34,98.89,95.58,105.0,0.000814166497048685,-0.0010102030508131188,-0.0013582697732733573,-0.002375296912114022
2000-03-28,97.67,98.94,95.72,103.89,-0.006813097417124325,0.0005056122964910426,0.0014647415777360173,-0.010571428571428565
2000-03-29,97.94,99.12,95.69,103.96,0.0027644107709634547,0.0018192844147968401,-0.00031341412452989825,0.0006737895851380848
2000-03-30,97.62,98.5,94.9,102.54,-0.0032673065141922697,-0.006255044390637621,-0.008255826105131092,-0.013659099653712814
2000-03-31,97.95,99.64,96.51,103.28,0.0033804548248310695,0.011573604060913789,0.016965226554267687,0.007216695923542016
2000-04-03,97.72,98.95,95.42,103.79,-0.0023481368044920847,-0.00692492974708947,-0.01129416640762615,0.004938032532920245
2000-04-04,97.66,98.41,94.48,103.02,-0.0006139991813344237,-0.005457301667508907,-0.00985118423810516,-0.007418826476539242
2000-04-05,97.31,98.16,94.07,102.52,-0.003583862379684555,-0.0025403922365613285,-0.004339542760372628,-0.004853426519122461
2000-04-06,98.2,98.01,93.86,103.5,0.009146028157434927,-0.0015281173594131614,-0.002232380142447088,0.009559110417479477
2000-04-07,100.26,98.56,95.04,104.53,0.02097759674134414,0.0056116722783388084,0.012571915619007168,0.00995169082125602
2000-04-10,99.93,98.26,94.43,103.71,-0.0032914422501495455,-0.0030438311688311126,-0.006418350168350129,-0.007844637902994389
2000-04-11,98.95,97.59,93.31,103.45,-0.009806864805363746,-0.00681864441278246,-0.011860637509266136,-0.002506990646996332
2000-04-12,98.14,97.34,92.67,101.15,-0.008185952501263305,-0.0025617378829798643,-0.006858857571535704,-0.02223296278395359
